r,t,e,y,AnnualTechnologyEmission
REGION,AGOHYDLSP00X,AGOCO2,2036.0,0.048
REGION,AGOHYDLSP00X,AGOCO2,2037.0,0.0504
REGION,AGOHYDLSP00X,AGOCO2,2038.0,0.0529
REGION,AGOHYDLSP00X,AGOCO2,2039.0,0.0546
REGION,AGOHYDLSP00X,AGOCO2,2040.0,0.0571
REGION,AGOHYDMSP00X,AGOCO2,2015.0,0.0003
REGION,AGOHYDMSP00X,AGOCO2,2016.0,0.001
REGION,AGOHYDMSP00X,AGOCO2,2019.0,0.0004
REGION,AGOHYDMSP00X,AGOCO2,2020.0,0.001
REGION,AGOHYDMSP00X,AGOCO2,2021.0,0.001
REGION,AGOHYDMSP00X,AGOCO2,2022.0,0.001
REGION,AGOHYDMSP00X,AGOCO2,2023.0,0.0034
REGION,AGOHYDMSP00X,AGOCO2,2024.0,0.0039
REGION,AGOHYDMSP00X,AGOCO2,2025.0,0.0039
REGION,AGOHYDMSP00X,AGOCO2,2026.0,0.0063
REGION,AGOHYDMSP00X,AGOCO2,2027.0,0.0063
REGION,AGOHYDMSP00X,AGOCO2,2028.0,0.0066
REGION,AGOHYDMSP00X,AGOCO2,2029.0,0.007
REGION,AGOHYDMSP00X,AGOCO2,2030.0,0.0078
REGION,AGOHYDMSP00X,AGOCO2,2031.0,0.0082
REGION,AGOHYDMSP00X,AGOCO2,2032.0,0.0082
REGION,AGOHYDMSP00X,AGOCO2,2033.0,0.0082
REGION,AGOHYDMSP00X,AGOCO2,2034.0,0.0082
REGION,AGOHYDMSP00X,AGOCO2,2035.0,0.0084
REGION,AGOHYDMSP00X,AGOCO2,2036.0,0.0086
REGION,AGOHYDMSP00X,AGOCO2,2037.0,0.0093
REGION,AGOHYDMSP00X,AGOCO2,2038.0,0.0093
REGION,AGOHYDMSP00X,AGOCO2,2039.0,0.0093
REGION,AGOHYDMSP00X,AGOCO2,2040.0,0.0101
REGION,AGOHYDSSP00X,AGOCO2,2015.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2016.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2020.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2021.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2022.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2023.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2024.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2025.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2026.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2027.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2028.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2029.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2030.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2031.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2032.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2033.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2034.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2035.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2036.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2037.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2038.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2039.0,0.0
REGION,AGOHYDSSP00X,AGOCO2,2040.0,0.0
REGION,AGOLFOMGRID1,AGOCO2,2040.0,0.0
REGION,AGOLFORCP00X,AGOCO2,2016.0,0.0026
REGION,AGOLFORCP00X,AGOCO2,2017.0,0.0025
REGION,AGOLFORCP00X,AGOCO2,2018.0,0.0028
REGION,AGOLFORCP00X,AGOCO2,2019.0,0.003
REGION,AGOLFORCP00X,AGOCO2,2020.0,0.0035
REGION,AGOLFORCP00X,AGOCO2,2022.0,0.0033
REGION,AGOLFORCP00X,AGOCO2,2023.0,0.0033
REGION,AGOLFORCP00X,AGOCO2,2024.0,0.0033
REGION,AGOLFORCP00X,AGOCO2,2025.0,0.0033
REGION,AGOLFORCP00X,AGOCO2,2026.0,0.0008
REGION,AGOLFORCP00X,AGOCO2,2027.0,0.0008
REGION,AGOLFORCP00X,AGOCO2,2040.0,0.0
REGION,AGOLFORCP01N,AGOCO2,2040.0,0.0
REGION,AGOLFORCP01O,AGOCO2,2015.0,2.2974
REGION,AGOLFORCP01O,AGOCO2,2016.0,2.456
REGION,AGOLFORCP01O,AGOCO2,2017.0,0.7354
REGION,AGOLFORCP01O,AGOCO2,2018.0,0.7354
REGION,AGOLFORCP01O,AGOCO2,2019.0,0.7354
REGION,AGOLFORCP01O,AGOCO2,2020.0,0.7354
REGION,AGOLFORCP01O,AGOCO2,2021.0,0.6987
REGION,AGOLFORCP01O,AGOCO2,2022.0,0.6619
REGION,AGOLFORCP01O,AGOCO2,2023.0,0.6251
REGION,AGOLFORCP01O,AGOCO2,2024.0,0.5884
REGION,AGOLFORCP01O,AGOCO2,2025.0,0.5516
REGION,AGOLFORCP01O,AGOCO2,2026.0,0.5148
REGION,AGOLFORCP01O,AGOCO2,2027.0,0.478
REGION,AGOLFORCP01O,AGOCO2,2028.0,0.4413
REGION,AGOLFORCP01O,AGOCO2,2029.0,0.4045
REGION,AGOLFORCP01O,AGOCO2,2030.0,0.3677
REGION,AGOLFORCP01O,AGOCO2,2031.0,0.3309
REGION,AGOLFORCP01O,AGOCO2,2032.0,0.2942
REGION,AGOLFORCP01O,AGOCO2,2033.0,0.2574
REGION,AGOLFORCP01O,AGOCO2,2034.0,0.2206
REGION,AGOLFORCP01O,AGOCO2,2035.0,0.1839
REGION,AGOLFORCP01O,AGOCO2,2036.0,0.1471
REGION,AGOLFORCP01O,AGOCO2,2037.0,0.1103
REGION,AGOLFORCP01O,AGOCO2,2038.0,0.0735
REGION,AGOLFORCP01O,AGOCO2,2039.0,0.0368
REGION,AGOLFORCP01O,AGOCO2,2040.0,0.0
REGION,AGOLFOSALON1,AGOCO2,2040.0,0.0
REGION,AGONGACCC01N,AGOCO2,2040.0,0.0
REGION,AGONGACCP01N,AGOCO2,2021.0,0.1329
REGION,AGONGACCP01N,AGOCO2,2022.0,1.357
REGION,AGONGACCP01N,AGOCO2,2023.0,0.9368
REGION,AGONGACCP01N,AGOCO2,2025.0,0.4974
REGION,AGONGACCP01N,AGOCO2,2026.0,0.7066
REGION,AGONGACCP01N,AGOCO2,2027.0,0.8198
REGION,AGONGACCP01N,AGOCO2,2028.0,0.8198
REGION,AGONGACCP01N,AGOCO2,2029.0,0.8183
REGION,AGONGACCP01N,AGOCO2,2030.0,0.8198
REGION,AGONGACCP01N,AGOCO2,2031.0,0.3226
REGION,AGONGACCP01N,AGOCO2,2032.0,0.1087
REGION,AGONGACCP01N,AGOCO2,2033.0,0.0305
REGION,AGONGACCP01N,AGOCO2,2034.0,0.0032
REGION,AGONGACCP01N,AGOCO2,2040.0,0.0
REGION,AGONGACCP01O,AGOCO2,2040.0,0.0
REGION,AGONGAGCP01N,AGOCO2,2040.0,0.0
REGION,AGONGAGCP01O,AGOCO2,2015.0,0.3441
REGION,AGONGAGCP01O,AGOCO2,2016.0,0.3441
REGION,AGONGAGCP01O,AGOCO2,2017.0,0.0688
REGION,AGONGAGCP01O,AGOCO2,2018.0,0.0688
REGION,AGONGAGCP01O,AGOCO2,2019.0,0.0688
REGION,AGONGAGCP01O,AGOCO2,2020.0,0.0688
REGION,AGONGAGCP01O,AGOCO2,2021.0,0.0654
REGION,AGONGAGCP01O,AGOCO2,2022.0,0.0619
REGION,AGONGAGCP01O,AGOCO2,2023.0,0.0585
REGION,AGONGAGCP01O,AGOCO2,2024.0,0.0551
REGION,AGONGAGCP01O,AGOCO2,2025.0,0.0516
REGION,AGONGAGCP01O,AGOCO2,2026.0,0.0482
REGION,AGONGAGCP01O,AGOCO2,2027.0,0.0447
REGION,AGONGAGCP01O,AGOCO2,2028.0,0.0413
REGION,AGONGAGCP01O,AGOCO2,2029.0,0.0379
REGION,AGONGAGCP01O,AGOCO2,2030.0,0.0344
REGION,AGONGAGCP01O,AGOCO2,2031.0,0.031
REGION,AGONGAGCP01O,AGOCO2,2032.0,0.0275
REGION,AGONGAGCP01O,AGOCO2,2033.0,0.0241
REGION,AGONGAGCP01O,AGOCO2,2034.0,0.0206
REGION,AGONGAGCP01O,AGOCO2,2035.0,0.0172
REGION,AGONGAGCP01O,AGOCO2,2036.0,0.0138
REGION,AGONGAGCP01O,AGOCO2,2037.0,0.0103
REGION,AGONGAGCP01O,AGOCO2,2038.0,0.0069
REGION,AGONGAGCP01O,AGOCO2,2039.0,0.0034
REGION,AGONGAGCP01O,AGOCO2,2040.0,0.0
REGION,AGOSOLCNP01X,AGOCO2,2040.0,0.0
REGION,AGOSOLCSP01X,AGOCO2,2040.0,0.0
REGION,AGOSOLMGRID1,AGOCO2,2040.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2015.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2016.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2017.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2018.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2019.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2020.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2021.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2022.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2023.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2024.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2025.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2026.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2027.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2028.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2029.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2030.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2031.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2032.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2033.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2034.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2035.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2036.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2037.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2038.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2039.0,0.0
REGION,AGOSOLPRP00X,AGOCO2,2040.0,0.0
REGION,AGOSOLPRSAL1,AGOCO2,2040.0,0.0
REGION,AGOSOLPRSAL2,AGOCO2,2040.0,0.0
REGION,AGOSOLPRSAL3,AGOCO2,2040.0,0.0
REGION,AGOSOLPRSAL4,AGOCO2,2040.0,0.0
REGION,AGOSOLPRSAL5,AGOCO2,2040.0,0.0
REGION,AGOSOLPSP00X,AGOCO2,2040.0,0.0
REGION,AGOSOLPUP00X,AGOCO2,2040.0,0.0
REGION,AGOURNPWP01N,AGOCO2,2040.0,0.0
REGION,AGOURNPWP01O,AGOCO2,2040.0,0.0
REGION,AGOWINOFP00X,AGOCO2,2040.0,0.0
REGION,AGOWINONP00X,AGOCO2,2040.0,0.0
REGION,BDIBIOCHC01N,BDICO2,2040.0,0.0
REGION,BDIBIOCHP01N,BDICO2,2040.0,0.0
REGION,BDIBIOCHP01O,BDICO2,2040.0,0.0
REGION,BDICOASCC01N,BDICO2,2040.0,0.0
REGION,BDICOASCP01N,BDICO2,2040.0,0.0
REGION,BDICOASCP01O,BDICO2,2040.0,0.0
REGION,BDIGEOCVP01N,BDICO2,2024.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2025.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2026.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2027.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2028.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2029.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2030.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2031.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2032.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2033.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2034.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2035.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2036.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2037.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2038.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2039.0,0.0193
REGION,BDIGEOCVP01N,BDICO2,2040.0,0.0193
REGION,BDIGEOCVP01O,BDICO2,2040.0,0.0
REGION,BDIHFOGCP01N,BDICO2,2040.0,0.0
REGION,BDIHFOGCP01O,BDICO2,2040.0,0.0
REGION,BDIHYDLSP00X,BDICO2,2022.0,0.0002
REGION,BDIHYDLSP00X,BDICO2,2023.0,0.0008
REGION,BDIHYDLSP00X,BDICO2,2024.0,0.0008
REGION,BDIHYDLSP00X,BDICO2,2025.0,0.0008
REGION,BDIHYDLSP00X,BDICO2,2026.0,0.0008
REGION,BDIHYDLSP00X,BDICO2,2027.0,0.0008
REGION,BDIHYDLSP00X,BDICO2,2028.0,0.0008
REGION,BDIHYDLSP00X,BDICO2,2029.0,0.0009
REGION,BDIHYDLSP00X,BDICO2,2030.0,0.001
REGION,BDIHYDLSP00X,BDICO2,2031.0,0.0011
REGION,BDIHYDLSP00X,BDICO2,2032.0,0.0011
REGION,BDIHYDLSP00X,BDICO2,2033.0,0.0013
REGION,BDIHYDLSP00X,BDICO2,2034.0,0.0013
REGION,BDIHYDLSP00X,BDICO2,2035.0,0.0014
REGION,BDIHYDLSP00X,BDICO2,2036.0,0.0015
REGION,BDIHYDLSP00X,BDICO2,2037.0,0.0017
REGION,BDIHYDLSP00X,BDICO2,2038.0,0.0017
REGION,BDIHYDLSP00X,BDICO2,2039.0,0.0017
REGION,BDIHYDLSP00X,BDICO2,2040.0,0.0018
REGION,BDIHYDMSP00X,BDICO2,2015.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2016.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2017.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2018.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2019.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2020.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2021.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2022.0,0.0001
REGION,BDIHYDMSP00X,BDICO2,2023.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2024.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2025.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2026.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2027.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2028.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2029.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2030.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2031.0,0.0006
REGION,BDIHYDMSP00X,BDICO2,2032.0,0.0008
REGION,BDIHYDMSP00X,BDICO2,2033.0,0.0008
REGION,BDIHYDMSP00X,BDICO2,2034.0,0.0008
REGION,BDIHYDMSP00X,BDICO2,2035.0,0.0009
REGION,BDIHYDMSP00X,BDICO2,2036.0,0.0009
REGION,BDIHYDMSP00X,BDICO2,2037.0,0.0009
REGION,BDIHYDMSP00X,BDICO2,2038.0,0.0009
REGION,BDIHYDMSP00X,BDICO2,2039.0,0.0009
REGION,BDIHYDMSP00X,BDICO2,2040.0,0.0009
REGION,BDIHYDSSP00X,BDICO2,2015.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2016.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2017.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2018.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2019.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2020.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2021.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2022.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2023.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2024.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2025.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2026.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2027.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2028.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2029.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2030.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2031.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2032.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2033.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2034.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2035.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2036.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2037.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2038.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2039.0,0.0
REGION,BDIHYDSSP00X,BDICO2,2040.0,0.0
REGION,BDILFOMGRID1,BDICO2,2040.0,0.0
REGION,BDILFORCP00X,BDICO2,2016.0,0.0
REGION,BDILFORCP00X,BDICO2,2017.0,0.0004
REGION,BDILFORCP00X,BDICO2,2018.0,0.0005
REGION,BDILFORCP00X,BDICO2,2019.0,0.0006
REGION,BDILFORCP00X,BDICO2,2020.0,0.0006
REGION,BDILFORCP00X,BDICO2,2021.0,0.0006
REGION,BDILFORCP00X,BDICO2,2022.0,0.0006
REGION,BDILFORCP00X,BDICO2,2023.0,0.0006
REGION,BDILFORCP00X,BDICO2,2024.0,0.0006
REGION,BDILFORCP00X,BDICO2,2025.0,0.0006
REGION,BDILFORCP00X,BDICO2,2026.0,0.0006
REGION,BDILFORCP00X,BDICO2,2027.0,0.0002
REGION,BDILFORCP00X,BDICO2,2040.0,0.0
REGION,BDILFORCP01N,BDICO2,2040.0,0.0
REGION,BDILFORCP01O,BDICO2,2015.0,0.0053
REGION,BDILFORCP01O,BDICO2,2016.0,0.0053
REGION,BDILFORCP01O,BDICO2,2017.0,0.0053
REGION,BDILFORCP01O,BDICO2,2018.0,0.0053
REGION,BDILFORCP01O,BDICO2,2019.0,0.0053
REGION,BDILFORCP01O,BDICO2,2020.0,0.0053
REGION,BDILFORCP01O,BDICO2,2021.0,0.005
REGION,BDILFORCP01O,BDICO2,2022.0,0.0047
REGION,BDILFORCP01O,BDICO2,2023.0,0.0045
REGION,BDILFORCP01O,BDICO2,2024.0,0.0042
REGION,BDILFORCP01O,BDICO2,2025.0,0.004
REGION,BDILFORCP01O,BDICO2,2026.0,0.0037
REGION,BDILFORCP01O,BDICO2,2027.0,0.0034
REGION,BDILFORCP01O,BDICO2,2028.0,0.0032
REGION,BDILFORCP01O,BDICO2,2029.0,0.0029
REGION,BDILFORCP01O,BDICO2,2030.0,0.0026
REGION,BDILFORCP01O,BDICO2,2031.0,0.0024
REGION,BDILFORCP01O,BDICO2,2032.0,0.0021
REGION,BDILFORCP01O,BDICO2,2033.0,0.0018
REGION,BDILFORCP01O,BDICO2,2034.0,0.0016
REGION,BDILFORCP01O,BDICO2,2035.0,0.0013
REGION,BDILFORCP01O,BDICO2,2036.0,0.0011
REGION,BDILFORCP01O,BDICO2,2037.0,0.0008
REGION,BDILFORCP01O,BDICO2,2038.0,0.0005
REGION,BDILFORCP01O,BDICO2,2039.0,0.0003
REGION,BDILFORCP01O,BDICO2,2040.0,0.0
REGION,BDILFOSALON1,BDICO2,2040.0,0.0
REGION,BDINGACCC01N,BDICO2,2040.0,0.0
REGION,BDINGACCP01N,BDICO2,2040.0,0.0
REGION,BDINGACCP01O,BDICO2,2040.0,0.0
REGION,BDINGAGCP01N,BDICO2,2040.0,0.0
REGION,BDINGAGCP01O,BDICO2,2040.0,0.0
REGION,BDISOLCNP01X,BDICO2,2040.0,0.0
REGION,BDISOLCSP01X,BDICO2,2040.0,0.0
REGION,BDISOLMGRID1,BDICO2,2040.0,0.0
REGION,BDISOLPRP00X,BDICO2,2015.0,0.0
REGION,BDISOLPRP00X,BDICO2,2016.0,0.0
REGION,BDISOLPRP00X,BDICO2,2017.0,0.0
REGION,BDISOLPRP00X,BDICO2,2018.0,0.0
REGION,BDISOLPRP00X,BDICO2,2019.0,0.0
REGION,BDISOLPRP00X,BDICO2,2020.0,0.0
REGION,BDISOLPRP00X,BDICO2,2021.0,0.0
REGION,BDISOLPRP00X,BDICO2,2022.0,0.0
REGION,BDISOLPRP00X,BDICO2,2023.0,0.0
REGION,BDISOLPRP00X,BDICO2,2024.0,0.0
REGION,BDISOLPRP00X,BDICO2,2025.0,0.0
REGION,BDISOLPRP00X,BDICO2,2026.0,0.0
REGION,BDISOLPRP00X,BDICO2,2027.0,0.0
REGION,BDISOLPRP00X,BDICO2,2028.0,0.0
REGION,BDISOLPRP00X,BDICO2,2029.0,0.0
REGION,BDISOLPRP00X,BDICO2,2030.0,0.0
REGION,BDISOLPRP00X,BDICO2,2031.0,0.0
REGION,BDISOLPRP00X,BDICO2,2032.0,0.0
REGION,BDISOLPRP00X,BDICO2,2033.0,0.0
REGION,BDISOLPRP00X,BDICO2,2034.0,0.0
REGION,BDISOLPRP00X,BDICO2,2035.0,0.0
REGION,BDISOLPRP00X,BDICO2,2036.0,0.0
REGION,BDISOLPRP00X,BDICO2,2037.0,0.0
REGION,BDISOLPRP00X,BDICO2,2038.0,0.0
REGION,BDISOLPRP00X,BDICO2,2039.0,0.0
REGION,BDISOLPRP00X,BDICO2,2040.0,0.0
REGION,BDISOLPRSAL1,BDICO2,2040.0,0.0
REGION,BDISOLPRSAL2,BDICO2,2040.0,0.0
REGION,BDISOLPRSAL3,BDICO2,2040.0,0.0
REGION,BDISOLPRSAL4,BDICO2,2040.0,0.0
REGION,BDISOLPRSAL5,BDICO2,2040.0,0.0
REGION,BDISOLPSP00X,BDICO2,2040.0,0.0
REGION,BDISOLPUP00X,BDICO2,2038.0,0.0
REGION,BDISOLPUP00X,BDICO2,2039.0,0.0
REGION,BDISOLPUP00X,BDICO2,2040.0,0.0
REGION,BDIURNPWP01N,BDICO2,2040.0,0.0
REGION,BDIURNPWP01O,BDICO2,2040.0,0.0
REGION,BDIWINOFP00X,BDICO2,2040.0,0.0
REGION,BDIWINONP00X,BDICO2,2040.0,0.0
REGION,BENBIOCHC01N,BENCO2,2040.0,0.0
REGION,BENBIOCHC01N,BENREN,2040.0,0.0
REGION,BENBIOCHP01N,BENCO2,2021.0,0.001
REGION,BENBIOCHP01N,BENCO2,2022.0,0.001
REGION,BENBIOCHP01N,BENCO2,2023.0,0.001
REGION,BENBIOCHP01N,BENCO2,2024.0,0.001
REGION,BENBIOCHP01N,BENCO2,2025.0,0.001
