Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
GMB,2029,LFO,0.0043296,Light Fuel Oil,Top-down low,No
GMB,2029,SOL,0.0011,Solar,Top-down low,No
GMB,2029,WIN,0.000825,Wind,Top-down low,No
GMB,2030,BIO,0.0095024526948658,Biomass,Top-down low,No
GMB,2030,HFO,0.0272,Heavy Fuel Oil,Top-down low,No
GMB,2030,HYD,0.0622264776553576,Hydropower,Top-down low,No
GMB,2030,LFO,0.003936,Light Fuel Oil,Top-down low,No
GMB,2030,SOL,0.0029235725400513,Solar,Top-down low,No
GMB,2030,WIN,0.00075,Wind,Top-down low,No
GMB,2020,HFO,0.0544,Heavy Fuel Oil,Top-down low,High
GMB,2020,LFO,0.007872,Light Fuel Oil,Top-down low,High
GMB,2020,SOL,0.00209,Solar,Top-down low,High
GMB,2020,WIN,0.0015,Wind,Top-down low,High
GMB,2021,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2021,HFO,0.05168,Heavy Fuel Oil,Top-down low,High
GMB,2021,LFO,0.0074784,Light Fuel Oil,Top-down low,High
GMB,2021,SOL,0.00198,Solar,Top-down low,High
GMB,2021,WIN,0.001425,Wind,Top-down low,High
GMB,2022,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2022,HFO,0.04896,Heavy Fuel Oil,Top-down low,High
GMB,2022,LFO,0.0070848,Light Fuel Oil,Top-down low,High
GMB,2022,SOL,0.00187,Solar,Top-down low,High
GMB,2022,WIN,0.00135,Wind,Top-down low,High
GMB,2023,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2023,HFO,0.04624,Heavy Fuel Oil,Top-down low,High
GMB,2023,HYD,0.0601247706222638,Hydropower,Top-down low,High
GMB,2023,LFO,0.0066912,Light Fuel Oil,Top-down low,High
GMB,2023,SOL,0.00176,Solar,Top-down low,High
GMB,2023,WIN,0.001275,Wind,Top-down low,High
GMB,2024,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2024,HFO,0.04352,Heavy Fuel Oil,Top-down low,High
GMB,2024,HYD,0.1383166415372684,Hydropower,Top-down low,High
GMB,2024,LFO,0.0062976,Light Fuel Oil,Top-down low,High
GMB,2024,SOL,0.00165,Solar,Top-down low,High
GMB,2024,WIN,0.0012,Wind,Top-down low,High
GMB,2025,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2025,HFO,0.0408,Heavy Fuel Oil,Top-down low,High
GMB,2025,HYD,0.4322144458307876,Hydropower,Top-down low,High
GMB,2025,LFO,0.005904,Light Fuel Oil,Top-down low,High
GMB,2025,SOL,0.00154,Solar,Top-down low,High
GMB,2025,WIN,0.001125,Wind,Top-down low,High
GMB,2026,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2026,HFO,0.03808,Heavy Fuel Oil,Top-down low,High
GMB,2026,HYD,0.6193571664283191,Hydropower,Top-down low,High
GMB,2026,LFO,0.0055104,Light Fuel Oil,Top-down low,High
GMB,2026,SOL,0.00143,Solar,Top-down low,High
GMB,2026,WIN,0.00105,Wind,Top-down low,High
GMB,2027,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2027,HFO,0.03536,Heavy Fuel Oil,Top-down low,High
GMB,2027,HYD,0.6193571664283191,Hydropower,Top-down low,High
GMB,2027,LFO,0.0051168,Light Fuel Oil,Top-down low,High
GMB,2027,SOL,0.00132,Solar,Top-down low,High
GMB,2027,WIN,0.000975,Wind,Top-down low,High
GMB,2028,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2028,HFO,0.03264,Heavy Fuel Oil,Top-down low,High
GMB,2028,HYD,0.6193571664283191,Hydropower,Top-down low,High
GMB,2028,LFO,0.0047232,Light Fuel Oil,Top-down low,High
GMB,2028,SOL,0.00121,Solar,Top-down low,High
GMB,2028,WIN,0.0009,Wind,Top-down low,High
GMB,2029,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2029,HFO,0.02992,Heavy Fuel Oil,Top-down low,High
GMB,2029,HYD,0.6193571664283191,Hydropower,Top-down low,High
GMB,2029,LFO,0.0043296,Light Fuel Oil,Top-down low,High
GMB,2029,SOL,0.0011,Solar,Top-down low,High
GMB,2029,WIN,0.000825,Wind,Top-down low,High
GMB,2030,BIO,0.0095024526948658,Biomass,Top-down low,High
GMB,2030,HFO,0.0272,Heavy Fuel Oil,Top-down low,High
GMB,2030,HYD,0.6193571664283191,Hydropower,Top-down low,High
GMB,2030,LFO,0.003936,Light Fuel Oil,Top-down low,High
GMB,2030,SOL,0.0024871954409518,Solar,Top-down low,High
GMB,2030,WIN,0.00075,Wind,Top-down low,High
