Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
BEN,2028,SOL,0.00755,Solar,Top-down low,No
BEN,2029,GAS,0.044,Natural Gas,Top-down low,No
BEN,2029,HFO,0.114168,Heavy Fuel Oil,Top-down low,No
BEN,2029,HYD,0.4359999999999999,Hydropower,Top-down low,No
BEN,2029,LFO,0.0503217,Light Fuel Oil,Top-down low,No
BEN,2029,SOL,0.0075,Solar,Top-down low,No
BEN,2030,GAS,0.04,Natural Gas,Top-down low,No
BEN,2030,HFO,0.11288,Heavy Fuel Oil,Top-down low,No
BEN,2030,HYD,0.4359999999999999,Hydropower,Top-down low,No
BEN,2030,LFO,0.045747,Light Fuel Oil,Top-down low,No
BEN,2030,SOL,0.0288929487247234,Solar,Top-down low,No
BEN,2020,GAS,0.08,Natural Gas,Top-down low,High
BEN,2020,HFO,0.12576,Heavy Fuel Oil,Top-down low,High
BEN,2020,HYD,0.4359999999999999,Hydropower,Top-down low,High
BEN,2020,LFO,0.0963248134247419,Light Fuel Oil,Top-down low,High
BEN,2020,SOL,0.00795,Solar,Top-down low,High
BEN,2021,GAS,0.076,Natural Gas,Top-down low,High
BEN,2021,HFO,0.124472,Heavy Fuel Oil,Top-down low,High
BEN,2021,HYD,0.4359999999999999,Hydropower,Top-down low,High
BEN,2021,LFO,0.0917501134247419,Light Fuel Oil,Top-down low,High
BEN,2021,SOL,0.0079,Solar,Top-down low,High
BEN,2022,GAS,0.072,Natural Gas,Top-down low,High
BEN,2022,HFO,0.123184,Heavy Fuel Oil,Top-down low,High
BEN,2022,HYD,0.4359999999999999,Hydropower,Top-down low,High
BEN,2022,LFO,0.0871754134247419,Light Fuel Oil,Top-down low,High
BEN,2022,SOL,0.00785,Solar,Top-down low,High
BEN,2023,GAS,0.068,Natural Gas,Top-down low,High
BEN,2023,HFO,0.121896,Heavy Fuel Oil,Top-down low,High
BEN,2023,HYD,1.001,Hydropower,Top-down low,High
BEN,2023,LFO,0.0826007134247419,Light Fuel Oil,Top-down low,High
BEN,2023,SOL,0.0078,Solar,Top-down low,High
BEN,2024,GAS,0.064,Natural Gas,Top-down low,High
BEN,2024,HFO,0.120608,Heavy Fuel Oil,Top-down low,High
BEN,2024,HYD,1.001,Hydropower,Top-down low,High
BEN,2024,LFO,0.0780260134247419,Light Fuel Oil,Top-down low,High
BEN,2024,SOL,0.00775,Solar,Top-down low,High
BEN,2025,GAS,0.06,Natural Gas,Top-down low,High
BEN,2025,HFO,0.11932,Heavy Fuel Oil,Top-down low,High
BEN,2025,HYD,1.001,Hydropower,Top-down low,High
BEN,2025,LFO,0.0708833673116414,Light Fuel Oil,Top-down low,High
BEN,2025,SOL,0.0077,Solar,Top-down low,High
BEN,2026,GAS,0.056,Natural Gas,Top-down low,High
BEN,2026,HFO,0.118032,Heavy Fuel Oil,Top-down low,High
BEN,2026,HYD,1.001,Hydropower,Top-down low,High
BEN,2026,LFO,0.0663086673116414,Light Fuel Oil,Top-down low,High
BEN,2026,SOL,0.0198339708221602,Solar,Top-down low,High
BEN,2027,GAS,0.052,Natural Gas,Top-down low,High
BEN,2027,HFO,0.116744,Heavy Fuel Oil,Top-down low,High
BEN,2027,HYD,1.001,Hydropower,Top-down low,High
BEN,2027,LFO,0.0617339673116414,Light Fuel Oil,Top-down low,High
BEN,2027,SOL,0.0439991453249545,Solar,Top-down low,High
BEN,2028,GAS,0.048,Natural Gas,Top-down low,High
BEN,2028,HFO,0.115456,Heavy Fuel Oil,Top-down low,High
BEN,2028,HYD,1.001,Hydropower,Top-down low,High
BEN,2028,LFO,0.0548964,Light Fuel Oil,Top-down low,High
BEN,2028,SOL,0.073407303999818,Solar,Top-down low,High
BEN,2029,GAS,0.044,Natural Gas,Top-down low,High
BEN,2029,HFO,0.114168,Heavy Fuel Oil,Top-down low,High
BEN,2029,HYD,1.001,Hydropower,Top-down low,High
BEN,2029,LFO,0.0503217,Light Fuel Oil,Top-down low,High
BEN,2029,SOL,0.0975680456838843,Solar,Top-down low,High
BEN,2030,GAS,0.04,Natural Gas,Top-down low,High
BEN,2030,HFO,0.11288,Heavy Fuel Oil,Top-down low,High
BEN,2030,HYD,1.001,Hydropower,Top-down low,High
BEN,2030,LFO,0.045747,Light Fuel Oil,Top-down low,High
BEN,2030,SOL,0.1503331877238594,Solar,Top-down low,High
